service_id,date,exception_type
毎日,20220811,1
毎日,20220919,1
毎日,20220923,1
毎日,20221010,1
毎日,20221103,1
毎日,20221123,1
毎日,20221229,1
毎日,20221230,1
毎日,20221231,1
毎日,20230101,1
毎日,20230102,1
毎日,20230103,1
毎日,20230109,1
毎日,20230211,1
毎日,20230223,1
毎日,20230321,1
夏会期,20220811,1
夏会期,20220919,2
夏会期,20220923,2
夏会期,20221010,2
夏会期,20221103,2
夏会期,20221123,2
夏会期,20221229,2
夏会期,20221230,2
夏会期,20221231,2
夏会期,20230101,2
夏会期,20230102,2
夏会期,20230103,2
夏会期,20230109,2
夏会期,20230211,2
夏会期,20230223,2
夏会期,20230321,2
秋会期,20220811,2
秋会期,20220919,2
秋会期,20220923,2
秋会期,20221010,1
秋会期,20221103,1
秋会期,20221123,2
秋会期,20221229,2
秋会期,20221230,2
秋会期,20221231,2
秋会期,20230101,2
秋会期,20230102,2
秋会期,20230103,2
秋会期,20230109,2
秋会期,20230211,2
秋会期,20230223,2
秋会期,20230321,2
