fare_id,route_id,origin_id,destination_id
Fare150yen_00,1,1_1,2_1
Fare150yen_00,1,1_1,3_1
Fare150yen_00,1,1_1,4_1
Fare150yen_00,1,1_1,5_1
Fare150yen_00,1,1_1,6_1
Fare200yen_00,1,1_1,7_1
Fare250yen_00,1,1_1,8_1
Fare250yen_00,1,1_1,9_1
Fare300yen_00,1,1_1,10_1
Fare300yen_00,1,1_1,11_1
Fare300yen_00,1,1_1,12_1
Fare300yen_00,1,1_1,13_1
Fare300yen_00,1,1_1,14_1
Fare300yen_00,1,1_1,15_1
Fare300yen_00,1,1_1,16_1
Fare300yen_00,1,1_1,17_1
Fare300yen_00,1,1_1,18_1
Fare300yen_00,1,1_1,19_1
Fare300yen_00,1,1_1,20_1
Fare150yen_00,1,2_1,3_1
Fare150yen_00,1,2_1,4_1
Fare150yen_00,1,2_1,5_1
Fare150yen_00,1,2_1,6_1
Fare200yen_00,1,2_1,7_1
Fare250yen_00,1,2_1,8_1
Fare250yen_00,1,2_1,9_1
Fare300yen_00,1,2_1,10_1
Fare300yen_00,1,2_1,11_1
Fare300yen_00,1,2_1,12_1
Fare300yen_00,1,2_1,13_1
Fare300yen_00,1,2_1,14_1
Fare300yen_00,1,2_1,15_1
Fare300yen_00,1,2_1,16_1
Fare300yen_00,1,2_1,17_1
Fare300yen_00,1,2_1,18_1
Fare300yen_00,1,2_1,19_1
Fare300yen_00,1,2_1,20_1
Fare150yen_00,1,3_1,4_1
Fare150yen_00,1,3_1,5_1
Fare150yen_00,1,3_1,6_1
Fare150yen_00,1,3_1,7_1
Fare200yen_00,1,3_1,8_1
Fare200yen_00,1,3_1,9_1
Fare250yen_00,1,3_1,10_1
Fare300yen_00,1,3_1,11_1
Fare300yen_00,1,3_1,12_1
Fare300yen_00,1,3_1,13_1
Fare300yen_00,1,3_1,14_1
Fare300yen_00,1,3_1,15_1
Fare300yen_00,1,3_1,16_1
Fare300yen_00,1,3_1,17_1
Fare300yen_00,1,3_1,18_1
Fare300yen_00,1,3_1,19_1
Fare300yen_00,1,3_1,20_1
Fare150yen_00,1,4_1,5_1
Fare150yen_00,1,4_1,6_1
Fare150yen_00,1,4_1,7_1
Fare200yen_00,1,4_1,8_1
Fare200yen_00,1,4_1,9_1
Fare250yen_00,1,4_1,10_1
Fare300yen_00,1,4_1,11_1
Fare300yen_00,1,4_1,12_1
Fare300yen_00,1,4_1,13_1
Fare300yen_00,1,4_1,14_1
Fare300yen_00,1,4_1,15_1
Fare300yen_00,1,4_1,16_1
Fare300yen_00,1,4_1,17_1
Fare300yen_00,1,4_1,18_1
Fare300yen_00,1,4_1,19_1
Fare300yen_00,1,4_1,20_1
Fare150yen_00,1,5_1,6_1
Fare150yen_00,1,5_1,7_1
Fare200yen_00,1,5_1,8_1
Fare200yen_00,1,5_1,9_1
Fare250yen_00,1,5_1,10_1
Fare300yen_00,1,5_1,11_1
Fare300yen_00,1,5_1,12_1
Fare300yen_00,1,5_1,13_1
Fare300yen_00,1,5_1,14_1
Fare300yen_00,1,5_1,15_1
Fare300yen_00,1,5_1,16_1
Fare300yen_00,1,5_1,17_1
Fare300yen_00,1,5_1,18_1
Fare300yen_00,1,5_1,19_1
Fare300yen_00,1,5_1,20_1
Fare150yen_00,1,6_1,7_1
Fare150yen_00,1,6_1,8_1
Fare150yen_00,1,6_1,9_1
Fare200yen_00,1,6_1,10_1
Fare250yen_00,1,6_1,11_1
Fare250yen_00,1,6_1,12_1
Fare300yen_00,1,6_1,13_1
Fare300yen_00,1,6_1,14_1
Fare300yen_00,1,6_1,15_1
Fare300yen_00,1,6_1,16_1
Fare300yen_00,1,6_1,17_1
Fare300yen_00,1,6_1,18_1
Fare300yen_00,1,6_1,19_1
Fare300yen_00,1,6_1,20_1
Fare150yen_00,1,7_1,8_1
Fare150yen_00,1,7_1,9_1
Fare200yen_00,1,7_1,10_1
Fare250yen_00,1,7_1,11_1
Fare250yen_00,1,7_1,12_1
Fare250yen_00,1,7_1,13_1
Fare300yen_00,1,7_1,14_1
Fare300yen_00,1,7_1,15_1
