table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ja-Hrkt,こうのうらにし,,神浦西
stops,stop_name,en,KOUNOURANISHI,,神浦西
stops,stop_name,ja-Hrkt,こうのうら,,神浦
stops,stop_name,en,KOUNOURA,,神浦
stops,stop_name,ja-Hrkt,いちみこ,,市神子
stops,stop_name,en,ICHIMIKO,,市神子
stops,stop_name,ja-Hrkt,よしがうら,,吉ヶ浦
stops,stop_name,en,YOSIGAURA,,吉ヶ浦
stops,stop_name,ja-Hrkt,めみがたに,,目見ヶ谷
stops,stop_name,en,MEMIGATANI,,目見ヶ谷
stops,stop_name,ja-Hrkt,かまのはま,,蒲野浜
stops,stop_name,en,KAMANOHAMA,,蒲野浜
stops,stop_name,ja-Hrkt,かまの,,蒲野
stops,stop_name,en,KAMANO,,蒲野
stops,stop_name,ja-Hrkt,よしの,,吉野
stops,stop_name,en,YOSHINO,,吉野
stops,stop_name,ja-Hrkt,よしのはま,,吉野浜
stops,stop_name,en,YOSHINOHAMA,,吉野浜
stops,stop_name,ja-Hrkt,ふたおもて,,二面
stops,stop_name,en,FUTAOMOTE,,二面
stops,stop_name,ja-Hrkt,むろ,,室生
stops,stop_name,en,MURO,,室生
stops,stop_name,ja-Hrkt,しょうどしまふるさとむら,,小豆島ふるさと村
stops,stop_name,en,SHODOSHIMA FURUSATOMURA,,小豆島ふるさと村
stops,stop_name,ja-Hrkt,こくみんしゅくしゃまえ,,国民宿舎前
stops,stop_name,en,KOKUMINSYUKUSYA MAE,,国民宿舎前
stops,stop_name,ja-Hrkt,はまじょう,,浜条
stops,stop_name,en,HAMAJYO,,浜条
stops,stop_name,ja-Hrkt,とうようおりーぶしょっぷまえ,,東洋オリーブショップ前
stops,stop_name,en,TOYO OLIVE SHOP MAE,,東洋オリーブショップ前
stops,stop_name,ja-Hrkt,しょうどしまちゅうおうびょういん,,小豆島中央病院
stops,stop_name,en,SHODOSHIMATYUOUBYOIN,,小豆島中央病院
stops,stop_name,ja-Hrkt,いけだないかくりにっく（いけだこうまえ）,,池田内科クリニック（池田港前）
stops,stop_name,en,IKEDANAIKA CLINIC（IKEDAKOU MAE）,,池田内科クリニック（池田港前）
stops,stop_name,ja-Hrkt,いのうえせいこうえんらしくえんまえ,,井上誠耕園らしく園前
stops,stop_name,en,INOUESEIKOUEN RASHIKUEN MAE,,井上誠耕園らしく園前
stops,stop_name,ja-Hrkt,しょうどしまちゅうおうこうこうまえ,,小豆島中央高校前
stops,stop_name,en,SHOUDOSHIMATYUOUKOUKOU MAE,,小豆島中央高校前
stops,stop_name,ja-Hrkt,いけだこうたーみなるまえ,,池田港ターミナル前
stops,stop_name,en,IKEDAKOUTERMINAL MAE,,池田港ターミナル前
stops,stop_name,ja-Hrkt,おりーぶこうえんぐち,,オリーブ公園口
stops,stop_name,en,OLIVEKOUEN GUCHI,,オリーブ公園口
stops,stop_name,ja-Hrkt,くさかべこう,,草壁港
stops,stop_name,en,KUSAKABEKOU,,草壁港
stops,stop_name,ja-Hrkt,やすだ,,安田
stops,stop_name,en,YASUDA,,安田
stops,stop_name,ja-Hrkt,うまき,,馬木
stops,stop_name,en,UMAKI,,馬木
stops,stop_name,ja-Hrkt,まるきんまえ,,丸金前
stops,stop_name,en,MARUKIN MAE,,丸金前
stops,stop_name,ja-Hrkt,あしのうら,,芦ノ浦
stops,stop_name,en,ASHINOURA,,芦ノ浦
stops,stop_name,ja-Hrkt,べいりぞーとほてるまえ,,ベイリゾートホテル前
stops,stop_name,en,BAY RESORT HOTEL MAE,,ベイリゾートホテル前
stops,stop_name,ja-Hrkt,さかてこうたーみなるまえ,,坂手港ターミナル前
stops,stop_name,en,SAKATEKOUTERMINAL MAE,,坂手港ターミナル前
stops,stop_name,ja-Hrkt,たのうらえいがむら,,田ノ浦映画村
stops,stop_name,en,TANOURA EIGAMURA,,田ノ浦映画村
stops,stop_name,ja-Hrkt,ふくたけはうす,,福武ハウス
stops,stop_name,en,FUKUTAKE HOUSE,,福武ハウス
stops,stop_name,ja-Hrkt,かんかけいさんちょう,,寒霞渓山頂
stops,stop_name,en,KANKAKEI MOUNTAINTOP,,寒霞渓山頂
stops,stop_name,ja-Hrkt,ふくだこう,,福田港
stops,stop_name,en,FUKUDAKOU,,福田港
routes,route_long_name,ja-Hrkt,ちょうえいばすみとにしせん,,町営バス三都西線
routes,route_long_name,en,Tyouei Bus Mito Nishi Line,,町営バス三都西線
trips,trip_headsign,ja-Hrkt,ふくたけはうす,,福武ハウス
trips,trip_headsign,en,FUKUTAKE HOUSE,,福武ハウス
trips,trip_headsign,ja-Hrkt,ふくだこう,,福田港
trips,trip_headsign,en,FUKUDAKOU,,福田港
trips,trip_headsign,ja-Hrkt,かんかけいさんちょう,,寒霞渓山頂
trips,trip_headsign,en,KANKAKEI MOUNTAINTOP,,寒霞渓山頂
trips,trip_headsign,ja-Hrkt,いけだこうたーみなるまえ,,池田港ターミナル前
trips,trip_headsign,en,IKEDAKOUTERMINAL MAE,,池田港ターミナル前
trips,trip_headsign,ja-Hrkt,たのうらえいがむら,,田ノ浦映画村
trips,trip_headsign,en,TANOURA EIGAMURA,,田ノ浦映画村
trips,trip_headsign,ja-Hrkt,こうのうらにし,,神浦西
trips,trip_headsign,en,KOUNOURANISHI,,神浦西
