route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
3,夏会期,3+0+夏会期+1,福武ハウス,0,SHP0001
3,夏会期,3+0+夏会期+2,福武ハウス,0,SHP0001
3,夏会期,3+0+夏会期+3,福武ハウス,0,SHP0001
3,夏会期,3+0+夏会期+4,福武ハウス,0,SHP0001
3,夏会期,3+0+夏会期+5,福田港,0,SHP0002
3,秋会期,3+0+秋会期+1,福武ハウス,0,SHP0001
3,秋会期,3+0+秋会期+2,福武ハウス,0,SHP0001
3,秋会期,3+0+秋会期+3,福武ハウス,0,SHP0001
3,秋会期,3+0+秋会期+4,福武ハウス,0,SHP0001
3,秋会期,3+0+秋会期+5,福田港,0,SHP0002
3,夏会期,3+1+夏会期+1,寒霞渓山頂,1,SHP0003
3,夏会期,3+1+夏会期+2,寒霞渓山頂,1,SHP0003
3,夏会期,3+1+夏会期+3,寒霞渓山頂,1,SHP0003
3,夏会期,3+1+夏会期+4,寒霞渓山頂,1,SHP0003
3,夏会期,3+1+夏会期+5,寒霞渓山頂,1,SHP0003
3,秋会期,3+1+秋会期+1,寒霞渓山頂,1,SHP0003
3,秋会期,3+1+秋会期+2,寒霞渓山頂,1,SHP0003
3,秋会期,3+1+秋会期+3,寒霞渓山頂,1,SHP0003
3,秋会期,3+1+秋会期+4,寒霞渓山頂,1,SHP0003
3,秋会期,3+1+秋会期+5,寒霞渓山頂,1,SHP0003
2,夏会期,2+0+夏会期+1,池田港ターミナル前,0,SHP0004
2,夏会期,2+0+夏会期+2,池田港ターミナル前,0,SHP0004
2,夏会期,2+0+夏会期+3,池田港ターミナル前,0,SHP0004
2,秋会期,2+0+秋会期+1,池田港ターミナル前,0,SHP0004
2,秋会期,2+0+秋会期+2,池田港ターミナル前,0,SHP0004
2,秋会期,2+0+秋会期+3,池田港ターミナル前,0,SHP0004
2,夏会期,2+1+夏会期+1,田ノ浦映画村,1,SHP0005
2,夏会期,2+1+夏会期+2,田ノ浦映画村,1,SHP0005
2,夏会期,2+1+夏会期+3,田ノ浦映画村,1,SHP0005
2,秋会期,2+1+秋会期+1,田ノ浦映画村,1,SHP0005
2,秋会期,2+1+秋会期+2,田ノ浦映画村,1,SHP0005
2,秋会期,2+1+秋会期+3,田ノ浦映画村,1,SHP0005
1,毎日,1+1+毎日+1,池田港ターミナル前,1,SHP0006
1,毎日,1+1+毎日+2,池田港ターミナル前,1,SHP0006
1,毎日,1+1+毎日+3,池田港ターミナル前,1,SHP0007
1,毎日,1+1+毎日+4,池田港ターミナル前,1,SHP0006
1,毎日,1+1+毎日+5,池田港ターミナル前,1,SHP0006
1,毎日,1+1+毎日+6,池田港ターミナル前,1,SHP0006
1,毎日,1+1+毎日+7,池田港ターミナル前,1,SHP0006
1,毎日,1+0+毎日+1,神浦西,0,SHP0008
1,毎日,1+0+毎日+2,神浦西,0,SHP0008
1,毎日,1+0+毎日+3,神浦西,0,SHP0008
1,毎日,1+0+毎日+4,神浦西,0,SHP0008
1,毎日,1+0+毎日+5,神浦西,0,SHP0008
1,毎日,1+0+毎日+6,神浦西,0,SHP0008
1,毎日,1+0+毎日+7,神浦西,0,SHP0008
