fare_id,route_id,origin_id,destination_id
Fare150yen_00,1,20_0,19_2
Fare150yen_00,1,20_0,18_2
Fare150yen_00,1,20_0,17_2
Fare150yen_00,1,20_0,16_0
Fare150yen_00,1,20_0,15_2
Fare150yen_00,1,20_0,14_2
Fare200yen_00,1,20_0,13_2
Fare200yen_00,1,20_0,12_2
Fare200yen_00,1,20_0,11_2
Fare250yen_00,1,20_0,10_2
Fare300yen_00,1,20_0,9_2
Fare300yen_00,1,20_0,8_2
Fare300yen_00,1,20_0,7_2
Fare300yen_00,1,20_0,6_2
Fare300yen_00,1,20_0,5_2
Fare300yen_00,1,20_0,4_2
Fare300yen_00,1,20_0,3_2
Fare300yen_00,1,20_0,2_2
Fare300yen_00,1,20_0,1_0
Fare150yen_00,1,19_2,18_2
Fare150yen_00,1,19_2,17_2
Fare150yen_00,1,19_2,16_0
Fare150yen_00,1,19_2,15_2
Fare200yen_00,1,19_2,14_2
Fare200yen_00,1,19_2,13_2
Fare200yen_00,1,19_2,12_2
Fare250yen_00,1,19_2,11_2
Fare250yen_00,1,19_2,10_2
Fare300yen_00,1,19_2,9_2
Fare300yen_00,1,19_2,8_2
Fare300yen_00,1,19_2,7_2
Fare300yen_00,1,19_2,6_2
Fare300yen_00,1,19_2,5_2
Fare300yen_00,1,19_2,4_2
Fare300yen_00,1,19_2,3_2
Fare300yen_00,1,19_2,2_2
Fare300yen_00,1,19_2,1_0
Fare150yen_00,1,18_2,17_2
Fare150yen_00,1,18_2,16_0
Fare150yen_00,1,18_2,15_2
Fare150yen_00,1,18_2,14_2
Fare200yen_00,1,18_2,13_2
Fare200yen_00,1,18_2,12_2
Fare200yen_00,1,18_2,11_2
Fare250yen_00,1,18_2,10_2
Fare300yen_00,1,18_2,9_2
Fare300yen_00,1,18_2,8_2
Fare300yen_00,1,18_2,7_2
Fare300yen_00,1,18_2,6_2
Fare300yen_00,1,18_2,5_2
Fare300yen_00,1,18_2,4_2
Fare300yen_00,1,18_2,3_2
Fare300yen_00,1,18_2,2_2
Fare300yen_00,1,18_2,1_0
Fare150yen_00,1,17_2,16_0
Fare150yen_00,1,17_2,15_2
Fare150yen_00,1,17_2,14_2
Fare150yen_00,1,17_2,13_2
Fare200yen_00,1,17_2,12_2
Fare200yen_00,1,17_2,11_2
Fare250yen_00,1,17_2,10_2
Fare300yen_00,1,17_2,9_2
Fare300yen_00,1,17_2,8_2
Fare300yen_00,1,17_2,7_2
Fare300yen_00,1,17_2,6_2
Fare300yen_00,1,17_2,5_2
Fare300yen_00,1,17_2,4_2
Fare300yen_00,1,17_2,3_2
Fare300yen_00,1,17_2,2_2
Fare300yen_00,1,17_2,1_0
Fare150yen_00,1,16_0,15_2
Fare150yen_00,1,16_0,14_2
Fare150yen_00,1,16_0,13_2
Fare150yen_00,1,16_0,12_2
Fare150yen_00,1,16_0,11_2
Fare200yen_00,1,16_0,10_2
Fare250yen_00,1,16_0,9_2
Fare250yen_00,1,16_0,8_2
Fare300yen_00,1,16_0,7_2
Fare300yen_00,1,16_0,6_2
Fare300yen_00,1,16_0,5_2
Fare300yen_00,1,16_0,4_2
Fare300yen_00,1,16_0,3_2
Fare300yen_00,1,16_0,2_2
Fare300yen_00,1,16_0,1_0
Fare150yen_00,1,15_2,14_2
Fare150yen_00,1,15_2,13_2
Fare150yen_00,1,15_2,12_2
Fare150yen_00,1,15_2,11_2
Fare200yen_00,1,15_2,10_2
Fare250yen_00,1,15_2,9_2
Fare250yen_00,1,15_2,8_2
Fare300yen_00,1,15_2,7_2
Fare300yen_00,1,15_2,6_2
Fare300yen_00,1,15_2,5_2
Fare300yen_00,1,15_2,4_2
Fare300yen_00,1,15_2,3_2
Fare300yen_00,1,15_2,2_2
Fare300yen_00,1,15_2,1_0
Fare150yen_00,1,14_2,13_2
Fare150yen_00,1,14_2,12_2
Fare150yen_00,1,14_2,11_2
Fare150yen_00,1,14_2,10_2
Fare200yen_00,1,14_2,9_2
Fare200yen_00,1,14_2,8_2
Fare300yen_00,1,14_2,7_2
Fare300yen_00,1,14_2,6_2
Fare300yen_00,1,14_2,5_2
Fare300yen_00,1,14_2,4_2
Fare300yen_00,1,14_2,3_2
Fare300yen_00,1,14_2,2_2
Fare300yen_00,1,14_2,1_0
Fare150yen_00,1,13_2,12_2
Fare150yen_00,1,13_2,11_2
Fare150yen_00,1,13_2,10_2
Fare200yen_00,1,13_2,9_2
Fare200yen_00,1,13_2,8_2
Fare250yen_00,1,13_2,7_2
Fare300yen_00,1,13_2,6_2
Fare300yen_00,1,13_2,5_2
Fare300yen_00,1,13_2,4_2
Fare300yen_00,1,13_2,3_2
Fare300yen_00,1,13_2,2_2
Fare300yen_00,1,13_2,1_0
Fare150yen_00,1,12_2,11_2
Fare150yen_00,1,12_2,10_2
Fare150yen_00,1,12_2,9_2
Fare200yen_00,1,12_2,8_2
Fare250yen_00,1,12_2,7_2
Fare250yen_00,1,12_2,6_2
Fare300yen_00,1,12_2,5_2
Fare300yen_00,1,12_2,4_2
Fare300yen_00,1,12_2,3_2
Fare300yen_00,1,12_2,2_2
