trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1+0+毎日+1,8:15:00,8:15:00,20_0,1,,0,1
1+0+毎日+1,8:17:00,8:17:00,19_2,2,,0,0
1+0+毎日+1,8:18:00,8:18:00,18_2,3,,0,0
1+0+毎日+1,8:19:00,8:19:00,17_2,4,,0,0
1+0+毎日+1,8:22:00,8:22:00,16_0,5,,0,0
1+0+毎日+1,8:24:00,8:24:00,15_2,6,,0,0
1+0+毎日+1,8:25:00,8:25:00,14_2,7,,0,0
1+0+毎日+1,8:27:00,8:27:00,13_2,8,,0,0
1+0+毎日+1,8:28:00,8:28:00,12_2,9,,0,0
1+0+毎日+1,8:29:00,8:29:00,11_2,10,,0,0
1+0+毎日+1,8:31:00,8:31:00,10_2,11,,0,0
1+0+毎日+1,8:34:00,8:34:00,9_2,12,,0,0
1+0+毎日+1,8:35:00,8:35:00,8_2,13,,0,0
1+0+毎日+1,8:39:00,8:39:00,7_2,14,,0,0
1+0+毎日+1,8:40:00,8:40:00,6_2,15,,0,0
1+0+毎日+1,8:42:00,8:42:00,5_2,16,,0,0
1+0+毎日+1,8:43:00,8:43:00,4_2,17,,0,0
1+0+毎日+1,8:44:00,8:44:00,3_2,18,,0,0
1+0+毎日+1,8:46:00,8:46:00,2_2,19,,0,0
1+0+毎日+1,8:47:00,8:47:00,1_0,20,,1,0
1+0+毎日+2,9:42:00,9:42:00,20_0,1,,0,1
1+0+毎日+2,9:44:00,9:44:00,19_2,2,,0,0
1+0+毎日+2,9:45:00,9:45:00,18_2,3,,0,0
1+0+毎日+2,9:46:00,9:46:00,17_2,4,,0,0
1+0+毎日+2,9:49:00,9:49:00,16_0,5,,0,0
1+0+毎日+2,9:51:00,9:51:00,15_2,6,,0,0
1+0+毎日+2,9:52:00,9:52:00,14_2,7,,0,0
1+0+毎日+2,9:54:00,9:54:00,13_2,8,,0,0
1+0+毎日+2,9:55:00,9:55:00,12_2,9,,0,0
1+0+毎日+2,9:56:00,9:56:00,11_2,10,,0,0
1+0+毎日+2,9:58:00,9:58:00,10_2,11,,0,0
1+0+毎日+2,10:01:00,10:01:00,9_2,12,,0,0
1+0+毎日+2,10:02:00,10:02:00,8_2,13,,0,0
1+0+毎日+2,10:06:00,10:06:00,7_2,14,,0,0
1+0+毎日+2,10:07:00,10:07:00,6_2,15,,0,0
1+0+毎日+2,10:09:00,10:09:00,5_2,16,,0,0
1+0+毎日+2,10:10:00,10:10:00,4_2,17,,0,0
1+0+毎日+2,10:11:00,10:11:00,3_2,18,,0,0
1+0+毎日+2,10:13:00,10:13:00,2_2,19,,0,0
1+0+毎日+2,10:14:00,10:14:00,1_0,20,,1,0
1+0+毎日+3,11:10:00,11:10:00,20_0,1,,0,1
1+0+毎日+3,11:12:00,11:12:00,19_2,2,,0,0
1+0+毎日+3,11:13:00,11:13:00,18_2,3,,0,0
1+0+毎日+3,11:14:00,11:14:00,17_2,4,,0,0
1+0+毎日+3,11:17:00,11:17:00,16_0,5,,0,0
1+0+毎日+3,11:19:00,11:19:00,15_2,6,,0,0
1+0+毎日+3,11:20:00,11:20:00,14_2,7,,0,0
1+0+毎日+3,11:22:00,11:22:00,13_2,8,,0,0
1+0+毎日+3,11:23:00,11:23:00,12_2,9,,0,0
1+0+毎日+3,11:24:00,11:24:00,11_2,10,,0,0
1+0+毎日+3,11:26:00,11:26:00,10_2,11,,0,0
1+0+毎日+3,11:29:00,11:29:00,9_2,12,,0,0
1+0+毎日+3,11:30:00,11:30:00,8_2,13,,0,0
1+0+毎日+3,11:34:00,11:34:00,7_2,14,,0,0
1+0+毎日+3,11:35:00,11:35:00,6_2,15,,0,0
1+0+毎日+3,11:37:00,11:37:00,5_2,16,,0,0
1+0+毎日+3,11:38:00,11:38:00,4_2,17,,0,0
1+0+毎日+3,11:39:00,11:39:00,3_2,18,,0,0
1+0+毎日+3,11:41:00,11:41:00,2_2,19,,0,0
1+0+毎日+3,11:42:00,11:42:00,1_0,20,,1,0
1+0+毎日+4,13:30:00,13:30:00,20_0,1,,0,1
1+0+毎日+4,13:32:00,13:32:00,19_2,2,,0,0
1+0+毎日+4,13:33:00,13:33:00,18_2,3,,0,0
1+0+毎日+4,13:34:00,13:34:00,17_2,4,,0,0
1+0+毎日+4,13:37:00,13:37:00,16_0,5,,0,0
1+0+毎日+4,13:39:00,13:39:00,15_2,6,,0,0
1+0+毎日+4,13:40:00,13:40:00,14_2,7,,0,0
1+0+毎日+4,13:42:00,13:42:00,13_2,8,,0,0
1+0+毎日+4,13:43:00,13:43:00,12_2,9,,0,0
1+0+毎日+4,13:44:00,13:44:00,11_2,10,,0,0
1+0+毎日+4,13:46:00,13:46:00,10_2,11,,0,0
1+0+毎日+4,13:49:00,13:49:00,9_2,12,,0,0
1+0+毎日+4,13:50:00,13:50:00,8_2,13,,0,0
1+0+毎日+4,13:54:00,13:54:00,7_2,14,,0,0
1+0+毎日+4,13:55:00,13:55:00,6_2,15,,0,0
1+0+毎日+4,13:57:00,13:57:00,5_2,16,,0,0
1+0+毎日+4,13:58:00,13:58:00,4_2,17,,0,0
1+0+毎日+4,13:59:00,13:59:00,3_2,18,,0,0
1+0+毎日+4,14:01:00,14:01:00,2_2,19,,0,0
1+0+毎日+4,14:02:00,14:02:00,1_0,20,,1,0
1+0+毎日+5,16:00:00,16:00:00,20_0,1,,0,1
1+0+毎日+5,16:02:00,16:02:00,19_2,2,,0,0
1+0+毎日+5,16:03:00,16:03:00,18_2,3,,0,0
1+0+毎日+5,16:04:00,16:04:00,17_2,4,,0,0
1+0+毎日+5,16:07:00,16:07:00,16_0,5,,0,0
1+0+毎日+5,16:09:00,16:09:00,15_2,6,,0,0
1+0+毎日+5,16:10:00,16:10:00,14_2,7,,0,0
1+0+毎日+5,16:12:00,16:12:00,13_2,8,,0,0
1+0+毎日+5,16:13:00,16:13:00,12_2,9,,0,0
1+0+毎日+5,16:14:00,16:14:00,11_2,10,,0,0
1+0+毎日+5,16:16:00,16:16:00,10_2,11,,0,0
1+0+毎日+5,16:19:00,16:19:00,9_2,12,,0,0
1+0+毎日+5,16:20:00,16:20:00,8_2,13,,0,0
1+0+毎日+5,16:24:00,16:24:00,7_2,14,,0,0
1+0+毎日+5,16:25:00,16:25:00,6_2,15,,0,0
1+0+毎日+5,16:27:00,16:27:00,5_2,16,,0,0
1+0+毎日+5,16:28:00,16:28:00,4_2,17,,0,0
1+0+毎日+5,16:29:00,16:29:00,3_2,18,,0,0
1+0+毎日+5,16:31:00,16:31:00,2_2,19,,0,0
1+0+毎日+5,16:32:00,16:32:00,1_0,20,,1,0
1+0+毎日+6,18:10:00,18:10:00,20_0,1,,0,1
1+0+毎日+6,18:12:00,18:12:00,19_2,2,,0,0
1+0+毎日+6,18:13:00,18:13:00,18_2,3,,0,0
1+0+毎日+6,18:14:00,18:14:00,17_2,4,,0,0
1+0+毎日+6,18:17:00,18:17:00,16_0,5,,0,0
1+0+毎日+6,18:19:00,18:19:00,15_2,6,,0,0
1+0+毎日+6,18:20:00,18:20:00,14_2,7,,0,0
1+0+毎日+6,18:22:00,18:22:00,13_2,8,,0,0
1+0+毎日+6,18:23:00,18:23:00,12_2,9,,0,0
1+0+毎日+6,18:24:00,18:24:00,11_2,10,,0,0
1+0+毎日+6,18:26:00,18:26:00,10_2,11,,0,0
1+0+毎日+6,18:29:00,18:29:00,9_2,12,,0,0
1+0+毎日+6,18:30:00,18:30:00,8_2,13,,0,0
1+0+毎日+6,18:34:00,18:34:00,7_2,14,,0,0
1+0+毎日+6,18:35:00,18:35:00,6_2,15,,0,0
1+0+毎日+6,18:37:00,18:37:00,5_2,16,,0,0
1+0+毎日+6,18:38:00,18:38:00,4_2,17,,0,0
1+0+毎日+6,18:39:00,18:39:00,3_2,18,,0,0
1+0+毎日+6,18:41:00,18:41:00,2_2,19,,0,0
1+0+毎日+6,18:42:00,18:42:00,1_0,20,,1,0
1+0+毎日+7,19:30:00,19:30:00,20_0,1,,0,1
1+0+毎日+7,19:32:00,19:32:00,19_2,2,,0,0
1+0+毎日+7,19:33:00,19:33:00,18_2,3,,0,0
1+0+毎日+7,19:34:00,19:34:00,17_2,4,,0,0
1+0+毎日+7,19:37:00,19:37:00,16_0,5,,0,0
1+0+毎日+7,19:39:00,19:39:00,15_2,6,,0,0
1+0+毎日+7,19:40:00,19:40:00,14_2,7,,0,0
1+0+毎日+7,19:42:00,19:42:00,13_2,8,,0,0
1+0+毎日+7,19:43:00,19:43:00,12_2,9,,0,0
1+0+毎日+7,19:44:00,19:44:00,11_2,10,,0,0
1+0+毎日+7,19:46:00,19:46:00,10_2,11,,0,0
1+0+毎日+7,19:49:00,19:49:00,9_2,12,,0,0
1+0+毎日+7,19:50:00,19:50:00,8_2,13,,0,0
1+0+毎日+7,19:54:00,19:54:00,7_2,14,,0,0
1+0+毎日+7,19:55:00,19:55:00,6_2,15,,0,0
1+0+毎日+7,19:57:00,19:57:00,5_2,16,,0,0
1+0+毎日+7,19:58:00,19:58:00,4_2,17,,0,0
1+0+毎日+7,19:59:00,19:59:00,3_2,18,,0,0
1+0+毎日+7,20:01:00,20:01:00,2_2,19,,0,0
1+0+毎日+7,20:02:00,20:02:00,1_0,20,,1,0
1+1+毎日+1,7:30:00,7:30:00,1_0,1,,0,1
