stop_id,stop_code,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
1_0,,神浦西,,34.429392,134.23461,1_0,0
2_1,,神浦,,34.43049,134.237877,2_1,0
2_2,,神浦,,34.430465,134.237931,2_2,0
3_1,,市神子,,34.428368,134.246085,3_1,0
3_2,,市神子,,34.428348,134.246171,3_2,0
4_1,,吉ヶ浦,,34.430857,134.246895,4_1,0
4_2,,吉ヶ浦,,34.430833,134.246975,4_2,0
5_1,,目見ヶ谷,,34.433034,134.248171,5_1,0
5_2,,目見ヶ谷,,34.432992,134.248257,5_2,0
6_1,,蒲野浜,,34.439613,134.251047,6_1,0
6_2,,蒲野浜,,34.439619,134.251127,6_2,0
7_1,,蒲野,,34.44265,134.25029,7_1,0
7_2,,蒲野,,34.442657,134.250376,7_2,0
8_1,,吉野,,34.451564,134.24418,8_1,0
8_2,,吉野,,34.451641,134.244325,8_2,0
9_1,,吉野浜,,34.452008,134.240527,9_1,0
9_2,,吉野浜,,34.45205,134.240581,9_2,0
10_1,,二面,,34.460853,134.242802,10_1,0
10_2,,二面,,34.460846,134.242866,10_2,0
11_1,,室生,,34.468792,134.238526,11_1,0
11_2,,室生,,34.468754,134.238601,11_2,0
12_1,,小豆島ふるさと村,,34.471049,134.23659,12_1,0
12_2,,小豆島ふるさと村,,34.471065,134.236692,12_2,0
13_1,,国民宿舎前,,34.47258,134.232765,13_1,0
13_2,,国民宿舎前,,34.472568,134.23291,13_2,0
14_1,,浜条,,34.478415,134.232813,14_1,0
14_2,,浜条,,34.478452,134.232851,14_2,0
15_1,,東洋オリーブショップ前,,34.480774,134.228913,15_1,0
15_2,,東洋オリーブショップ前,,34.481364,134.229026,15_2,0
16_0,,小豆島中央病院,,34.48283,134.234176,16_0,0
17_1,,池田内科クリニック（池田港前）,,34.480517,134.225078,17_1,0
17_2,,池田内科クリニック（池田港前）,,34.480626,134.224745,17_2,0
18_1,,井上誠耕園らしく園前,,34.48046,134.220282,18_1,0
18_2,,井上誠耕園らしく園前,,34.480564,134.220394,18_2,0
19_1,,小豆島中央高校前,,34.481711,134.216173,19_1,0
19_2,,小豆島中央高校前,,34.481877,134.216151,19_2,0
20_0,,池田港ターミナル前,,34.479744,134.225571,20_0,0
